country,year,algebraic_connectivity_vitality_w,efficiency_vitality_w,flow_betweenness_log1p_w,communicability_betweenness_asinh_w,shannon_entropy_w,participation_coefficient_w,within_module_degree_zscore_w,laplacian_centrality_log_w
AUS,2008,0.000358146,0.007242951,10.54907297,3.278961953,3.099816688,0.465334789,0.160514397,-3.693786514
AUS,2009,0.00042036,0.013929793,10.58622915,3.772876696,3.099420019,0.441570266,0.319819935,-3.436007577
AUS,2010,0.000877883,0.013320831,10.56698044,3.529597411,3.018864525,0.426162441,0.248303367,-3.433952098
AUS,2011,0.001198922,0.015753697,10.64196257,3.599057127,2.960506061,0.415896197,0.263016503,-3.309959902
AUS,2012,0.001091963,0.015556677,10.50346778,3.745444609,2.973690641,0.431474373,0.267626464,-3.249907129
AUS,2013,0.001894152,0.013725721,10.21087555,3.581068469,2.96405576,0.39530776,0.199814118,-3.372217728
AUS,2014,0.003063594,0.013824186,9.943269952,3.339700958,2.905529559,0.380950067,0.227741833,-3.409347978
AUS,2015,0.003871595,0.012364793,9.793865222,3.043531474,2.93358197,0.404666513,0.039496135,-3.588663799
AUS,2016,0.00318697,0.012730949,10.09405759,3.069271972,2.976443899,0.435699712,0.04917151,-3.624106161
AUS,2017,0.002962982,0.014406787,10.25567239,3.166863861,2.950066605,0.415181778,0.055729613,-3.529138907
AUS,2018,0.003002901,0.013950326,10.3135209,3.130799861,2.915308516,0.401451997,0.103889278,-3.523883964
AUS,2019,0.001933703,0.015762767,10.23764244,3.115096539,2.86825663,0.409870502,0.093525734,-3.498192022
AUT,1995,0.001299186,0.029229308,10.60723424,3.919063657,2.671087146,0.161848586,0.249648526,-3.189481259
AUT,1996,0.001066781,0.028099396,10.38782395,3.92654568,2.714302323,0.219121957,0.145048795,-3.240905838
AUT,1997,0.00061621,0.024695859,10.43814606,3.795277741,2.804889729,0.203954257,0.249907038,-3.384240358
AUT,1998,0.001650345,0.026733539,10.68388995,3.90174167,2.783569938,0.194948009,0.277490063,-3.312877239
AUT,1999,0.001319036,0.026422517,10.51531916,3.744831213,2.76324539,0.200984013,0.277445587,-3.385216076
AUT,2000,0.000962047,0.024868206,10.49082742,3.637969319,2.7811219,0.222333537,0.265206476,-3.465113505
AUT,2001,0.001029693,0.025431661,10.91734555,3.733957012,2.775104328,0.223249934,0.274768009,-3.34595275
AUT,2002,0.017418767,0.025090904,10.83035544,3.837747248,2.812156076,0.211501351,0.288608439,-3.32723759
AUT,2003,0.021257478,0.026474629,11.000987,3.906966765,2.798900772,0.196031187,0.267675243,-3.255597176
AUT,2004,0.000798388,0.026379811,11.02113623,3.891441038,2.823294844,0.212809612,0.253157728,-3.229004699
AUT,2005,0.001101852,0.024812359,11.01074561,3.818136619,2.862798418,0.230832338,0.216185769,-3.292728172
AUT,2006,0.001171066,0.024429619,10.90586391,3.763794149,2.863187853,0.231217253,0.181564635,-3.293722735
AUT,2007,0.000620932,0.024488526,10.88578755,3.78438293,2.874272649,0.226069845,0.171034854,-3.24739542
AUT,2008,0.000807158,0.022413809,10.78275474,3.801582647,2.943301772,0.23704224,0.163262829,-3.302282407
AUT,2009,0.001073629,0.022483813,10.6592574,3.918784451,2.973553235,0.239270505,0.20998011,-3.293137705
AUT,2010,0.001564925,0.024173597,10.66822304,3.941485036,2.891067807,0.245447686,0.307334181,-3.220835218
AUT,2011,0.001467576,0.02369836,10.61775566,3.933264707,2.892061353,0.262836938,0.310353551,-3.232302739
AUT,2012,0.001253727,0.022144627,10.42528335,3.802628158,2.903339791,0.251934938,0.278676124,-3.334605498
AUT,2013,0.001608161,0.022167427,10.25323408,3.891156089,2.929942883,0.252109361,0.314598435,-3.308532379
AUT,2014,0.002254939,0.021701665,10.1306648,3.855750536,2.939821696,0.265435764,0.272585945,-3.338723412
AUT,2015,0.002367226,0.020085784,10.00247295,3.640063262,2.965876438,0.283562777,0.205412354,-3.477468785
AUT,2016,0.002163429,0.020469193,10.32915947,3.645778536,2.967098805,0.277424859,0.200325567,-3.438311664
AUT,2017,0.002108353,0.019966616,10.50574298,3.749266462,2.998228491,0.280660249,0.238834058,-3.435605458
AUT,2018,0.00194717,0.01956355,10.57118184,3.786091375,3.021994725,0.282221291,0.230598918,-3.40336066
AUT,2019,0.002015503,0.018739762,10.52481507,3.708890469,3.047312133,0.288156629,0.215753834,-3.458228061
BEL,1995,0.059820098,0.039491973,11.32940307,5.571270544,2.76764284,0.245261185,1.497932806,-2.088844023
BEL,1996,0.05477749,0.035905104,11.12919931,5.462523861,2.799711789,0.282490075,1.275415084,-2.187074442
BEL,1997,0.045568376,0.032375994,11.25828101,5.374721369,2.86963692,0.266942339,1.386141811,-2.371264935
BEL,1998,0.049701809,0.03119558,11.48582881,5.224292465,2.868731525,0.273796598,1.273810143,-2.397817208
BEL,1999,0.056201372,0.029900601,11.26818592,5.106395187,2.878351394,0.28102208,1.244649161,-2.497933885
BEL,2000,0.054283155,0.027651055,11.21695379,5.038940117,2.936670589,0.300002032,1.220498033,-2.602035299
BEL,2001,0.079468065,0.027199913,11.63149563,5.132444474,2.955947978,0.289507015,1.175620993,-2.562570082
BEL,2002,0.104381293,0.026007574,11.53141654,5.115121555,2.952227893,0.288042243,1.101100482,-2.590083849
BEL,2003,0.079743626,0.025936715,11.64144027,5.076536769,2.92737686,0.268273018,1.029557964,-2.567982862
BEL,2004,0.053790642,0.025171935,11.64144027,5.045192672,2.937556303,0.279906303,0.968501087,-2.588986532
BEL,2005,0.053089675,0.022631069,11.6280775,4.927924375,3.015041461,0.302821396,0.877093378,-2.691813763
BEL,2006,0.044557344,0.023361472,11.54946225,4.858615833,2.986485121,0.269026672,0.86459162,-2.691671133
BEL,2007,0.04582506,0.023535336,11.6139899,4.952815364,3.029174537,0.283611092,0.840818106,-2.641325442
BEL,2008,0.03553953,0.022945614,11.5004798,5.027830547,3.074227441,0.322263868,0.921119761,-2.590782698
BEL,2009,0.035895071,0.021556904,11.40818885,4.981622079,3.091008598,0.332160399,0.907485458,-2.623628794
BEL,2010,0.028574946,0.020987553,11.2813683,4.895042188,3.113414055,0.329928144,0.892571398,-2.7540143
BEL,2011,0.019321993,0.020727228,11.32634414,4.816574578,3.101018968,0.341291261,0.885922659,-2.780698929
BEL,2012,0.030725969,0.019514569,11.10427841,4.803851632,3.127212678,0.316923223,0.901111808,-2.860182896
BEL,2013,0.015326059,0.0187195,10.83892642,4.696985447,3.127442886,0.31704018,0.893536413,-2.868536785
BEL,2014,0.016322532,0.018020513,10.64831331,4.641061179,3.139549119,0.322438965,0.854175786,-2.899883421
BEL,2015,0.026941368,0.015417361,10.66970149,4.453791436,3.119732583,0.321564745,0.800158333,-3.001748917
BEL,2016,0.024602281,0.014596437,10.990624,4.459965272,3.147844796,0.320426642,0.75589373,-2.998724024
BEL,2017,0.019099554,0.014493926,11.11338464,4.45223523,3.15766551,0.31227506,0.804663158,-3.017023655
BEL,2018,0.030796429,0.014698764,11.10440482,4.46666809,3.137324901,0.314827222,0.72942615,-3.02088148
BEL,2019,0.039359039,0.012713185,11.06822165,4.358395663,3.142394911,0.301579204,0.705451026,-3.092358665
BGD,1995,-5.77E-05,-0.023236486,7.40141046,0.040726247,3.11055667,0.397533719,-0.564740089,-7.052019491
BGD,1996,1.37E-05,-0.023337171,7.348550875,0.049876269,3.199143642,0.600201675,-0.776010626,-6.922931863
BGD,1997,3.27E-05,-0.023363646,7.52419247,0.041876912,3.179564377,0.580853694,-0.82519986,-6.921725408
BGD,1998,1.92E-05,-0.022436001,7.873020644,0.0414712,3.131093664,0.59233151,-0.820703684,-6.780543941
BGD,1999,0.000209739,-0.022166461,7.724324495,0.072599244,3.149247697,0.58673051,-0.799558641,-6.740324035
BGD,2000,0.00035437,-0.022831935,7.680471503,0.056900559,3.165035146,0.577552436,-0.758356886,-6.861139859
BGD,2001,-4.75E-05,-0.022283601,8.142311153,0.082039402,3.152659039,0.57554427,-0.80200617,-6.665082079
BGD,2002,-0.000141839,-0.022808382,8.059618757,0.087576628,3.151932294,0.554059113,-0.808801914,-6.725321229
BGD,2003,-0.000137573,-0.02344741,8.031617723,0.062156836,3.154908274,0.554041162,-0.7936223,-6.849425052
BGD,2004,-0.000139052,-0.023086317,7.95602875,0.043870331,3.176915021,0.565009803,-0.790907483,-6.882828547
BGD,2005,-0.000159215,-0.022778928,7.932332925,0.048519001,3.164067963,0.554796422,-0.777422242,-6.789109504
BGD,2006,-0.000105429,-0.022933139,7.610743278,0.051799383,3.219366514,0.41888968,-0.627024905,-6.837394677
BGD,2007,-0.000144196,-0.023527301,7.649165542,0.044818035,3.277031639,0.419593477,-0.647971681,-6.915970935
BGD,2008,-0.000129774,-0.021768637,7.657268135,0.078919149,3.218119893,0.549611445,-0.717134026,-6.624145989
BGD,2009,-5.33E-05,-0.020668834,7.908900149,0.149083705,3.237005801,0.535019805,-0.788816889,-6.228816055
BGD,2010,-0.000108287,-0.021570301,7.792229396,0.09825989,3.225537869,0.517992271,-0.738854148,-6.400926833
BGD,2011,-0.000123948,-0.019435988,7.896257201,0.119531256,3.064184942,0.496548407,-0.708875558,-6.369898511
BGD,2012,-0.000120211,-0.019952861,7.830254245,0.168770372,3.181695086,0.516450636,-0.720860501,-6.079838161
BGD,2013,-8.97E-05,-0.018668372,7.732043723,0.204725754,3.168759962,0.506308105,-0.686730658,-5.942402039
BGD,2014,-3.45E-05,-0.017723572,7.602355345,0.216721038,3.136781415,0.511033872,-0.640023866,-5.859138531
BGD,2015,5.95E-05,-0.016767372,7.813316157,0.290031011,3.151111498,0.525215464,-0.669614555,-5.739717368
BGD,2016,2.55E-05,-0.013984805,8.122710161,0.200352827,2.865285036,0.552989082,-0.65678689,-5.606042159
BGD,2017,0.000157713,-0.01466939,8.131972984,0.173029319,2.890441428,0.551898138,-0.664256468,-5.686213811
BGD,2018,-9.22E-06,-0.014211865,8.20806085,0.191174178,2.836207016,0.537250316,-0.625542397,-5.630036318
BGD,2019,3.92E-05,-0.013716699,8.234791979,0.240560266,2.889955786,0.529304951,-0.608598477,-5.559068034
BGR,1995,0.000228074,-0.021416603,7.419678975,0.21486984,3.324551873,0.272149782,-0.568073283,-6.756129212
